Model Name,`BIRADS` Precision,`BIRADS` Recall,`BIRADS` F1-Score,`Findings` BERT,`Findings` ROUGE-L,`Breast-Composition` BERT,`Breast-Composition` ROUGE-L
llava:latest_,1.0,0.8,0.89,0.49,0.03,0.64,0.14
qwen2.5:latest_nshot,1.0,0.6,0.75,0.72,0.6,0.92,0.77
qwen2.5:latest_CoT,1.0,0.8,0.89,0.53,0.08,0.73,0.19
qwen2.5:latest_nshot_rag,1.0,0.8,0.89,0.61,0.25,0.88,0.61
llava:latest_nshot,1.0,1.0,1.0,0.73,0.67,0.95,0.85
llava:latest_CoT,1.0,1.0,1.0,0.42,0.03,0.52,0.11
mistral:7b-instruct_CoT,1.0,1.0,1.0,0.49,0.01,0.68,0.17
mistral:7b-instruct_nshot,1.0,0.4,0.57,0.63,0.29,0.9,0.62
mistral:7b-instruct_,1.0,1.0,1.0,0.52,0.1,0.6,0.09
mistral:7b-instruct_nshot_rag,1.0,1.0,1.0,0.6,0.22,0.85,0.48
llava:latest_nshot_rag,1.0,1.0,1.0,0.7,0.5,0.78,0.59
qwen2.5:latest_,1.0,1.0,1.0,0.6,0.16,0.65,0.22
